爱      ,性   ,6.77,0.117657 ,
虎      ,猫   ,7.35,0.694444 ,
虎      ,虎   ,10  ,1        ,
书      ,纸   ,7.46,0.260005 ,
电脑     ,键盘  ,7.62,0.239294 ,
电脑     ,因特网 ,7.58,0.378049 ,
飞机     ,汽车  ,5.77,0.694444 ,
火车     ,汽车  ,6.31,0.947183 ,
电话     ,交流  ,7.5 ,0.197036 ,
电视     ,收音机 ,6.77,0.668193 ,
媒体     ,收音机 ,7.42,0.691124 ,
毒品     ,滥用  ,6.85,0.224384 ,
面包     ,黄油  ,6.19,0.129832 ,
黄瓜     ,土豆  ,5.92,0.882986 ,
医生     ,护士  ,7   ,0.868974 ,
教授     ,医生  ,6.62,0.940234 ,
学生     ,教授  ,6.81,0.480818 ,
聪明     ,学生  ,4.62,0.114558 ,
聪明     ,蠢   ,5.81,0.797883 ,
公司     ,股票  ,7.08,0.248725 ,
股票     ,市场  ,8.08,0.25838  ,
股票     ,手机  ,1.62,0.473456 ,
股票     ,光盘  ,1.31,0.473456 ,
股票     ,老虎  ,0.92,0.378952 ,
股票     ,卵   ,1.81,0.188747 ,
生育     ,卵   ,6.69,0.303749 ,
股票     ,活   ,3.73,0.433378 ,
股票     ,生活  ,0.92,0.229663 ,
书      ,图书馆 ,7.46,0.372955 ,
银行     ,钱   ,8.12,0.314375 ,
木      ,森林  ,7.73,0.931818 ,
钱      ,现金  ,9.15,0.940476 ,
教授     ,黄瓜  ,0.31,0.305659 ,
国王     ,卷心菜 ,0.23,0.30757  ,
国王     ,王后  ,8.58,0.657346 ,
国王     ,骗子  ,5.92,0.704158 ,
主教     ,法师  ,6.69,0.884387 ,
耶路撒冷   ,以色列 ,8.46,0.835119 ,
耶路撒冷   ,巴勒斯坦,7.65,0.835119 ,
神圣     ,性   ,1.62,0.60158  ,
性交     ,性   ,9.44,0.117942 ,
足球     ,足球  ,9.03,1        ,
足球     ,篮球  ,6.81,0.847029 ,
足球     ,网球  ,6.63,0.935424 ,
网球     ,球拍  ,7.56,0.940476 ,
阿拉法特   ,和平  ,6.73,0.351992 ,
阿拉法特   ,恐怖  ,7.65,0.208892 ,
法律     ,律师  ,8.38,0.49268  ,
电影     ,星   ,7.38,0.389731 ,
电影     ,爆米花 ,6.19,-2       ,
电影     ,批评家 ,6.73,0.412086 ,
电影     ,电影院 ,7.92,0.266983 ,
物理     ,质子  ,8.12,0.377365 ,
物理     ,化学  ,7.35,0.920213 ,
空间     ,化学  ,4.88,0.333333 ,
酒精     ,化学  ,5.54,0.253852 ,
伏特加    ,白兰地 ,8.13,0.933598 ,
喝      ,汽车  ,3.04,0.262246 ,
喝      ,耳朵  ,1.31,0.122635 ,
喝      ,嘴   ,5.96,0.133405 ,
喝      ,吃   ,6.87,0.523928 ,
婴儿     ,母亲  ,7.85,0.700742 ,
喝      ,母亲  ,2.65,0.14668  ,
汽车     ,汽车  ,8.94,1        ,
宝石     ,珠宝  ,8.96,0.438271 ,
旅行     ,航行  ,9.29,0.400973 ,
男孩     ,小伙子 ,8.83,0.91317  ,
海岸     ,海滨  ,9.1 ,0.849631 ,
精神病院   ,精神病院,8.87,1        ,
魔术师    ,魔术师 ,9.02,1        ,
正午     ,中午  ,9.29,0.857994 ,
熔炉     ,火炉  ,8.79,0.387942 ,
食物     ,水果  ,7.52,0.308561 ,
鸟      ,公鸡  ,7.1 ,0.940476 ,
鸟      ,鹤   ,7.38,0.940476 ,
工具     ,器具  ,6.46,0.884387 ,
修士     ,僧侣  ,6.27,0.75565  ,
鹤      ,器具  ,2.69,0.295806 ,
小伙子    ,修士  ,4.46,0.868691 ,
旅行     ,汽车  ,5.85,0.262246 ,
僧侣     ,圣人  ,5   ,0.965909 ,
墓地     ,林地  ,2.08,0.379377 ,
食物     ,公鸡  ,4.42,0.285767 ,
海岸     ,丘陵  ,4.38,0.179167 ,
森林     ,墓地  ,1.85,0.286269 ,
海滨     ,林地  ,3.08,0.180975 ,
僧侣     ,奴隶  ,0.92,0.965909 ,
海岸     ,森林  ,3.15,0.230631 ,
小伙子    ,魔术师 ,0.92,0.588265 ,
琴弦     ,微笑  ,0.54,0.118594 ,
玻璃     ,魔术师 ,2.08,0.122718 ,
中午     ,弦   ,0.54,0.120414 ,
公鸡     ,航行  ,0.62,0.245141 ,
钱      ,美元  ,8.42,0.670238 ,
钱      ,现金  ,9.08,0.940476 ,
钱      ,货币  ,9.04,0.940476 ,
钱      ,财富  ,8.27,0.38609  ,
钱      ,财产  ,7.57,0.542549 ,
钱      ,拥有  ,7.29,0.154787 ,
钱      ,银行  ,8.5 ,0.477865 ,
钱      ,存款  ,7.73,0.592293 ,
钱      ,经营  ,3.31,0.169706 ,
虎      ,老虎  ,8   ,0.940476 ,
虎      ,猫   ,8   ,0.694444 ,
虎      ,食肉动物,7.08,0.644219 ,
虎      ,哺乳动物,6.85,0.694444 ,
虎      ,动物  ,7   ,0.694444 ,
虎      ,生物  ,4.77,0.46001  ,
虎      ,动物  ,5.62,0.694444 ,
虎      ,动物园 ,5.87,0.372955 ,
心理学    ,精神病 ,8.08,0.449421 ,
心理学    ,焦虑  ,7   ,0.377777 ,
心理学    ,害怕  ,6.85,0.199165 ,
心理学    ,沮丧  ,7.42,0.199165 ,
心理学    ,诊所  ,6.58,0.26937  ,
心理学    ,医生  ,6.42,0.278641 ,
心理学    ,精神  ,7.69,0.648222 ,
心理学    ,健康  ,7.23,0.20773  ,
心理学    ,科学  ,6.71,0.827277 ,
心理学    ,惩罚  ,5.58,0.187678 ,
心理学    ,认知  ,7.48,0.199165 ,
行星     ,星   ,8.45,0.931818 ,
行星     ,星座  ,8.06,0.931818 ,
行星     ,月亮  ,8.08,0.931818 ,
行星     ,太阳  ,8.02,0.931818 ,
行星     ,星系  ,8.11,0.931818 ,
行星     ,空间  ,7.92,0.612631 ,
行星     ,宇航员 ,7.94,0.462017 ,
先例     ,例子  ,5.85,0.920213 ,
先例     ,信息  ,3.85,0.660687 ,
先例     ,认知  ,2.81,0.20216  ,
先例     ,法律  ,6.65,0.274436 ,
先例     ,收藏  ,2.5 ,0.190484 ,
先例     ,小组  ,1.77,0.377365 ,
先例     ,先前  ,6.04,0.127542 ,
杯子     ,咖啡  ,6.58,0.352585 ,
杯子     ,餐具  ,6.85,0.649682 ,
杯子     ,文章  ,2.4 ,0.266953 ,
杯子     ,人工  ,2.92,0.218184 ,
杯子     ,物体  ,3.69,0.278557 ,
杯子     ,实体  ,2.15,0.154978 ,
杯子     ,喝   ,7.25,0.19494  ,
杯子     ,食物  ,5   ,0.418374 ,
杯子     ,物质  ,1.92,0.278557 ,
杯子     ,液体  ,5.9 ,0.322942 ,
老虎     ,猫   ,7.42,0.694444 ,
老虎     ,汽车  ,7.27,0.365605 ,
能量     ,秘书  ,1.81,0.251184 ,
秘书     ,参议院 ,5.06,0.372197 ,
能量     ,实验室 ,5.09,0.268518 ,
电脑     ,实验室 ,6.78,0.372955 ,
武器     ,秘密  ,6.06,0.261522 ,
联邦调查局  ,指纹  ,6.94,0.207312 ,
联邦调查局  ,侦查  ,8.31,0.30679  ,
调查     ,努力  ,4.59,0.236478 ,
火星     ,水   ,2.94,0.405229 ,
火星     ,科学家 ,5.63,0.462017 ,
新闻     ,报道  ,8.16,0.940476 ,
峡谷     ,风景  ,7.53,0.120627 ,
图像     ,表面  ,4.56,0.264125 ,
探索     ,空间  ,6.34,0.230545 ,
水      ,渗透  ,6.56,0.211497 ,
标志     ,休会  ,2.38,0.28136  ,
星期三    ,新闻  ,2.22,0.111408 ,
英里     ,公里  ,8.66,0.861446 ,
电脑     ,新闻  ,4.47,0.399867 ,
领土     ,表面  ,5.34,0.188747 ,
大气     ,风景  ,3.69,0.136215 ,
总统     ,奖章  ,3   ,0.498229 ,
战争     ,军队  ,8.13,0.335462 ,
记录     ,数字  ,6.31,0.549407 ,
皮肤     ,眼睛  ,6.22,0.60791  ,
日本人    ,美国人 ,6.5 ,0.665909 ,
